team_id,team_name,season,valid_from_season,mp,wins,draws,losses,points,goals_for,goals_against,goal_difference,clean_sheets,failed_to_score,home_mp,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_mp,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,shots_for,shots_against,sot_for,sot_against,fouls_for,fouls_against,corners_for,corners_against,yellows_for,yellows_against,reds_for,reds_against,ppg,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_difference,sot_accuracy,sot_conceded_rate,shot_conversion,clean_sheet_rate,failed_to_score_rate,corners_pg,fouls_pg,yellows_pg,reds_pg,shots_pg,shots_conceded_pg,sot_pg,sot_conceded_pg,home_win_rate,away_win_rate,home_ppg,away_ppg,home_goal_diff_pg,away_goal_diff_pg
18,Liverpool,2020/21,2021/22,38,20,9,9,69,68,42,26,12,8,19,10,3,6,29,20,19,10,6,3,39,22,608,333,214,144,396,355,260,122,40,56,0,2,1.8157894736842104,0.5263157894736842,0.2368421052631578,0.2368421052631578,1.7894736842105263,1.105263157894737,0.6842105263157895,0.3519736842105263,0.43243243243243246,0.1118421052631579,0.3157894736842105,0.21052631578947367,6.842105263157895,10.421052631578947,1.0526315789473684,0.0,16.0,8.763157894736842,5.631578947368421,3.789473684210526,0.5263157894736842,0.5263157894736842,1.736842105263158,1.894736842105263,0.47368421052631576,0.8947368421052632
20,Man City,2020/21,2021/22,38,27,5,6,86,83,32,51,19,3,19,13,2,4,43,17,19,14,3,2,40,15,604,285,219,100,361,389,247,112,46,59,2,2,2.263157894736842,0.7105263157894737,0.131578947368421,0.1578947368421052,2.1842105263157894,0.8421052631578947,1.3421052631578947,0.36258278145695366,0.3508771929824561,0.13741721854304637,0.5,0.07894736842105263,6.5,9.5,1.2105263157894737,0.05263157894736842,15.894736842105264,7.5,5.7631578947368425,2.6315789473684212,0.6842105263157895,0.7368421052631579,2.1578947368421053,2.3684210526315788,1.368421052631579,1.3157894736842106
21,Man United,2020/21,2021/22,38,21,11,6,74,73,44,29,13,8,19,9,4,6,38,28,19,12,7,0,35,16,521,418,212,140,452,411,197,163,64,62,1,3,1.947368421052632,0.5526315789473685,0.2894736842105263,0.1578947368421052,1.9210526315789476,1.1578947368421053,0.7631578947368421,0.4069097888675624,0.3349282296650718,0.1401151631477927,0.34210526315789475,0.21052631578947367,5.184210526315789,11.894736842105264,1.6842105263157894,0.02631578947368421,13.710526315789474,11.0,5.578947368421052,3.6842105263157894,0.47368421052631576,0.631578947368421,1.631578947368421,2.263157894736842,0.5263157894736842,1.0
22,Newcastle,2020/21,2021/22,38,12,9,17,45,46,62,-16,7,12,19,6,5,8,26,33,19,6,4,9,20,29,397,572,142,193,388,432,161,229,61,57,3,3,1.1842105263157894,0.3157894736842105,0.2368421052631578,0.4473684210526316,1.2105263157894737,1.631578947368421,-0.4210526315789473,0.35768261964735515,0.3374125874125874,0.11586901763224182,0.18421052631578946,0.3157894736842105,4.2368421052631575,10.210526315789474,1.605263157894737,0.07894736842105263,10.447368421052632,15.052631578947368,3.736842105263158,5.078947368421052,0.3157894736842105,0.3157894736842105,1.2105263157894737,1.1578947368421053,-0.3684210526315789,-0.47368421052631576
25,Sheffield United,2020/21,2021/22,38,7,2,29,23,20,63,-43,5,21,19,5,1,13,12,27,19,2,1,16,8,36,325,542,99,212,459,304,171,243,73,37,3,1,0.6052631578947368,0.1842105263157894,0.0526315789473684,0.7631578947368421,0.5263157894736842,1.6578947368421053,-1.131578947368421,0.3046153846153846,0.39114391143911437,0.06153846153846154,0.13157894736842105,0.5526315789473685,4.5,12.078947368421053,1.9210526315789473,0.07894736842105263,8.552631578947368,14.263157894736842,2.6052631578947367,5.578947368421052,0.2631578947368421,0.10526315789473684,0.8421052631578947,0.3684210526315789,-0.7894736842105263,-1.4736842105263157
26,Southampton,2020/21,2021/22,38,12,7,19,43,47,68,-21,9,13,19,8,3,8,28,25,19,4,4,11,19,43,423,428,166,180,426,438,178,197,52,54,3,3,1.131578947368421,0.3157894736842105,0.1842105263157894,0.5,1.236842105263158,1.7894736842105263,-0.5526315789473685,0.39243498817966904,0.4205607476635514,0.1111111111111111,0.23684210526315788,0.34210526315789475,4.684210526315789,11.210526315789474,1.368421052631579,0.07894736842105263,11.131578947368421,11.263157894736842,4.368421052631579,4.7368421052631575,0.42105263157894735,0.21052631578947367,1.4210526315789473,0.8421052631578947,0.15789473684210525,-1.263157894736842
28,Tottenham,2020/21,2021/22,38,18,8,12,62,68,45,23,12,6,19,10,3,6,35,20,19,8,5,6,33,25,444,488,176,158,439,494,168,201,53,77,2,1,1.631578947368421,0.4736842105263157,0.2105263157894736,0.3157894736842105,1.7894736842105263,1.1842105263157894,0.6052631578947368,0.3963963963963964,0.3237704918032787,0.15315315315315314,0.3157894736842105,0.15789473684210525,4.421052631578948,11.552631578947368,1.394736842105263,0.05263157894736842,11.68421052631579,12.842105263157896,4.631578947368421,4.157894736842105,0.5263157894736842,0.42105263157894735,1.736842105263158,1.5263157894736843,0.7894736842105263,0.42105263157894735
30,West Brom,2020/21,2021/22,38,5,11,22,26,35,76,-41,6,16,19,3,6,10,15,39,19,2,5,12,20,37,340,599,112,246,404,430,145,267,51,48,4,1,0.6842105263157895,0.131578947368421,0.2894736842105263,0.5789473684210527,0.9210526315789472,2.0,-1.0789473684210529,0.32941176470588235,0.41068447412353926,0.10294117647058823,0.15789473684210525,0.42105263157894735,3.8157894736842106,10.631578947368421,1.3421052631578947,0.10526315789473684,8.947368421052632,15.763157894736842,2.9473684210526314,6.473684210526316,0.15789473684210525,0.10526315789473684,0.7894736842105263,0.5789473684210527,-1.263157894736842,-0.8947368421052632
31,West Ham,2020/21,2021/22,38,19,8,11,65,62,47,15,11,7,19,10,4,5,32,22,19,9,4,6,30,25,468,464,165,152,374,367,168,184,48,50,3,1,1.7105263157894737,0.5,0.2105263157894736,0.2894736842105263,1.631578947368421,1.236842105263158,0.3947368421052631,0.3525641025641026,0.3275862068965517,0.13247863247863248,0.2894736842105263,0.18421052631578946,4.421052631578948,9.842105263157896,1.263157894736842,0.07894736842105263,12.31578947368421,12.210526315789474,4.342105263157895,4.0,0.5263157894736842,0.47368421052631576,1.7894736842105263,1.631578947368421,0.5263157894736842,0.2631578947368421
32,Wolves,2020/21,2021/22,38,12,9,17,45,36,52,-16,10,13,19,7,4,8,21,25,19,5,5,9,15,27,462,442,154,157,425,404,209,186,53,60,0,5,1.1842105263157894,0.3157894736842105,0.2368421052631578,0.4473684210526316,0.9473684210526316,1.368421052631579,-0.4210526315789473,0.3333333333333333,0.3552036199095023,0.07792207792207792,0.2631578947368421,0.34210526315789475,5.5,11.18421052631579,1.394736842105263,0.0,12.157894736842104,11.631578947368421,4.052631578947368,4.131578947368421,0.3684210526315789,0.2631578947368421,1.3157894736842106,1.0526315789473684,-0.21052631578947367,-0.631578947368421
