player_id,player_name,season,valid_from_season,team_id,primary_position,age,matches_played,starts,minutes_played,minutes_per_90,goals,assists,goals_assists,non_pen_goals,xg,xag,npxg,npxg_xag,shots,shots_on_target,sot_pct,avg_shot_distance,goals_per_shot,goals_per_sot,goals_per_90,assists_per_90,xg_per_90,xag_per_90,npxg_per_90,g_a_per_90,shots_per_90,sot_per_90,sca,gca,sca_per_90,gca_per_90,sca_per_90_calc,gca_per_90_calc,key_passes,passes_into_box,prog_passes,prog_carries,prog_receptions,tackles,tackles_won,interceptions,clearances,blocks,errors_leading_to_shot,tackles_per_90,interceptions_per_90,yellows,reds,fouls_committed,fouls_drawn,touches,carries,carry_dist,progressive_carry_dist,dribbles_attempted,dribbles_completed,dribble_success_rate,miscontrols,dispossessed,performance_score
132,João Pedro,2025/26,2026/27,8,FW,23.0,4,4,330.0,3.7,2,3,5,2,1.5,1.2,1.5,2.7,9,3,33.3,14.3,0.22,0.67,0.5405405405405405,0.8108108108108107,0.4054054054054054,0.3243243243243243,0.4054054054054054,1.3513513513513513,2.4324324324324325,0.8108108108108107,9,2,2.45,0.55,2.4324324324324325,0.5405405405405405,4,3,10,6,26,2,2,2,5,2,0,0.5405405405405405,0.5405405405405405,0,0,2,7,146,79,342,117,11,1,9.1,10,6,0.7945544554455446
133,Liam Delap,2025/26,2026/27,8,FW,22.0,3,2,92.0,1.0,0,0,0,0,0.2,0.0,0.2,0.2,3,2,66.7,13.9,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,3.0,2.0,1,0,0.98,0.0,1.0,0.0,0,1,3,2,4,0,0,0,1,0,1,0.0,0.0,0,0,1,1,25,15,99,42,0,0,,2,2,0.33531353135313535
134,Malo Gusto,2025/26,2026/27,8,DF,22.0,3,2,170.0,1.9,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,31.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,5,1,2.65,0.53,2.6315789473684212,0.5263157894736842,1,1,12,2,7,4,1,3,4,0,0,2.1052631578947367,1.5789473684210527,0,0,1,3,134,71,392,171,1,0,0.0,7,1,0.5466171617161717
135,Marc Cucurella,2025/26,2026/27,8,DF,27.0,4,3,293.0,3.3,0,1,1,0,0.2,0.8,0.2,1.0,3,1,33.3,13.6,0.0,0.0,0.0,0.30303030303030304,0.060606060606060615,0.24242424242424246,0.060606060606060615,0.30303030303030304,0.9090909090909092,0.30303030303030304,6,1,1.84,0.31,1.8181818181818183,0.30303030303030304,6,3,17,7,14,8,4,4,9,5,0,2.4242424242424243,1.2121212121212122,0,0,4,4,252,139,561,355,0,0,,1,0,0.780775577557756
136,Moisés Caicedo,2025/26,2026/27,8,MF,23.0,4,4,360.0,4.0,2,0,2,2,0.4,0.0,0.4,0.4,4,2,50.0,15.8,0.5,1.0,0.5,0.0,0.1,0.0,0.1,0.5,1.0,0.5,7,1,1.75,0.25,1.75,0.25,0,1,25,4,2,16,6,12,5,7,0,4.0,3.0,1,0,3,6,315,174,792,383,3,1,33.3,2,4,0.7566006600660067
137,Pedro Neto,2025/26,2026/27,8,FW,25.0,4,4,350.0,3.9,1,0,1,1,0.5,0.9,0.5,1.4,5,1,20.0,16.3,0.2,1.0,0.25641025641025644,0.0,0.12820512820512822,0.23076923076923078,0.12820512820512822,0.25641025641025644,1.2820512820512822,0.25641025641025644,18,2,4.63,0.51,4.615384615384616,0.5128205128205129,8,6,14,18,39,3,2,3,1,1,0,0.7692307692307693,0.7692307692307693,0,0,0,3,189,127,931,523,14,6,42.9,10,5,0.8004125412541253
138,Reece James,2025/26,2026/27,8,DF,25.0,4,1,155.0,1.7,0,0,0,0,0.1,0.5,0.1,0.6,2,1,50.0,25.5,0.0,0.0,0.0,0.0,0.05882352941176471,0.29411764705882354,0.05882352941176471,0.0,1.1764705882352942,0.5882352941176471,8,2,4.65,1.16,4.705882352941177,1.1764705882352942,4,1,13,4,1,1,1,4,4,2,0,0.5882352941176471,2.3529411764705883,1,0,4,5,174,108,565,319,3,1,33.3,1,2,0.6354785478547854
139,Robert Sánchez,2025/26,2026/27,8,GK,27.0,4,4,360.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.25,0.0,0.25,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,134,88,374,261,0,0,,0,0,0.2812706270627063
140,Tosin Adarabioyo,2025/26,2026/27,8,DF,27.0,3,3,270.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,13,1,0,5,2,4,19,1,0,1.6666666666666667,1.3333333333333333,0,0,2,0,298,150,700,437,0,0,,1,0,0.4948019801980198
141,Trevoh Chalobah,2025/26,2026/27,8,DF,26.0,4,4,338.0,3.8,1,0,1,1,0.6,0.0,0.6,0.6,7,1,14.3,14.3,0.14,1.0,0.2631578947368421,0.0,0.15789473684210525,0.0,0.15789473684210525,0.2631578947368421,1.842105263157895,0.2631578947368421,7,0,1.86,0.0,1.842105263157895,0.0,1,4,22,6,0,8,5,7,24,2,0,2.1052631578947367,1.842105263157895,0,0,3,6,353,234,1045,580,4,3,75.0,3,1,0.7415841584158416
142,Tyrique George,2025/26,2026/27,8,FW,19.0,2,0,112.0,1.2,0,0,0,0,0.2,0.0,0.2,0.2,2,2,100.0,9.3,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,1.6666666666666667,1.6666666666666667,4,2,3.21,1.61,3.3333333333333335,1.6666666666666667,0,2,3,1,7,1,1,0,1,0,0,0.8333333333333334,0.0,1,0,3,1,27,16,79,42,2,1,50.0,5,2,0.4532178217821782
143,Wesley Fofana,2025/26,2026/27,8,DF,24.0,2,1,67.0,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.34,0.0,1.4285714285714286,0.0,0,0,2,2,1,1,1,2,1,0,0,1.4285714285714286,2.857142857142857,0,0,1,2,71,43,170,129,0,0,,0,0,0.36699669966996695
144,Adam Wharton,2025/26,2026/27,10,MF,21.0,3,3,226.0,2.5,0,0,0,0,0.0,0.4,0.0,0.4,0,0,,,,,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4,1,1.59,0.4,1.6,0.4,3,2,10,2,0,1,1,2,2,5,0,0.4,0.8,0,0,0,1,116,55,247,154,3,3,100.0,4,1,0.5328382838283827
145,Chris Richards,2025/26,2026/27,10,DF,25.0,4,4,360.0,4.0,0,0,0,0,0.3,0.0,0.3,0.3,2,0,0.0,8.5,0.0,,0.0,0.0,0.075,0.0,0.075,0.0,0.5,0.0,3,0,0.75,0.0,0.75,0.0,1,0,7,0,0,8,5,3,20,8,0,2.0,0.75,0,0,2,1,210,105,435,207,0,0,,0,0,0.5482673267326733
146,Christantus Uche,2025/26,2026/27,10,MF,22.0,1,0,7.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,1,1,100.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1,0,12.86,0.0,10.0,0.0,0,0,0,1,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,11,7,26,20,0,0,,0,0,0.2501650165016502
147,Daichi Kamada,2025/26,2026/27,10,MF,29.0,2,2,175.0,1.9,0,0,0,0,0.1,0.6,0.1,0.7,2,2,100.0,23.4,0.0,0.0,0.0,0.0,0.052631578947368425,0.3157894736842105,0.052631578947368425,0.0,1.0526315789473684,1.0526315789473684,4,2,2.06,1.03,2.1052631578947367,1.0526315789473684,1,3,10,2,7,4,3,1,1,1,0,2.1052631578947367,0.5263157894736842,0,0,2,4,80,39,164,82,2,1,50.0,3,1,0.5982673267326732
148,Daniel Muñoz,2025/26,2026/27,10,DF,29.0,4,4,360.0,4.0,0,1,1,0,0.2,1.5,0.2,1.6,3,1,33.3,16.5,0.0,0.0,0.0,0.25,0.05,0.375,0.05,0.25,0.75,0.25,4,1,1.0,0.25,1.0,0.25,2,4,8,6,19,9,5,3,18,0,0,2.25,0.75,2,0,7,4,186,89,419,193,4,1,25.0,4,1,0.7806930693069307
149,Dean Henderson,2025/26,2026/27,10,GK,28.0,4,4,360.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.25,0.0,0.25,0.0,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,152,87,399,220,0,0,,0,0,0.28745874587458753
150,Eberechi Eze,2025/26,2026/27,10,MF,27.0,1,1,83.0,0.9,0,0,0,0,0.2,0.0,0.2,0.2,6,2,33.3,32.4,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,6.666666666666666,2.2222222222222223,3,0,3.25,0.0,3.333333333333333,0.0,0,0,1,0,2,1,1,0,1,1,0,1.1111111111111112,0.0,0,0,2,1,37,18,116,60,4,2,50.0,1,2,0.3791254125412541
151,Ismaila Sarr,2025/26,2026/27,10,MF,27.0,3,3,270.0,3.0,2,0,2,2,2.0,0.0,2.0,2.0,3,2,66.7,5.0,0.67,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,5,0,1.67,0.0,1.6666666666666667,0.0,1,2,8,4,12,3,0,1,5,2,0,1.0,0.3333333333333333,1,0,5,4,87,42,297,177,5,1,20.0,8,10,0.5911716171617162
152,Jean-Philippe Mateta,2025/26,2026/27,10,FW,28.0,4,4,351.0,3.9,1,0,1,0,1.8,0.0,1.0,1.0,7,5,71.4,19.8,0.0,0.0,0.25641025641025644,0.0,0.46153846153846156,0.0,0.25641025641025644,0.25641025641025644,1.794871794871795,1.2820512820512822,2,1,0.51,0.26,0.5128205128205129,0.25641025641025644,0,1,4,2,13,1,1,4,10,2,0,0.25641025641025644,1.0256410256410258,2,0,4,4,88,46,165,66,3,1,33.3,12,6,0.6066006600660067
153,Jefferson Lerma,2025/26,2026/27,10,MF,30.0,4,1,133.0,1.5,0,0,0,0,0.4,0.0,0.4,0.4,2,1,50.0,19.3,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,1.3333333333333333,0.6666666666666666,3,1,2.03,0.68,2.0,0.6666666666666666,0,0,8,1,2,2,1,0,5,1,1,1.3333333333333333,0.0,0,0,2,1,67,28,89,49,0,0,,1,1,0.46666666666666673
154,Justin Devenny,2025/26,2026/27,10,FW,21.0,4,1,100.0,1.1,0,0,0,0,0.0,0.1,0.0,0.2,1,1,100.0,13.6,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.9090909090909091,0.9090909090909091,5,0,4.5,0.0,4.545454545454545,0.0,2,0,1,5,8,5,4,0,1,2,0,4.545454545454545,0.0,0,0,3,1,46,28,179,114,1,0,0.0,1,3,0.4712871287128714
155,Marc Guéhi,2025/26,2026/27,10,DF,25.0,4,4,360.0,4.0,1,0,1,1,0.2,0.0,0.2,0.2,3,1,33.3,12.7,0.33,1.0,0.25,0.0,0.05,0.0,0.05,0.25,0.75,0.25,5,1,1.25,0.25,1.25,0.25,2,0,13,1,1,5,4,4,18,0,0,1.25,1.0,0,0,1,2,251,167,817,532,0,0,,0,1,0.6562706270627063
156,Maxence Lacroix,2025/26,2026/27,10,DF,25.0,4,4,360.0,4.0,0,1,1,0,0.1,0.5,0.1,0.6,1,1,100.0,8.0,0.0,0.0,0.0,0.25,0.025,0.125,0.025,0.25,0.25,0.25,3,1,0.75,0.25,0.75,0.25,1,0,6,0,1,7,4,7,27,7,1,1.75,1.75,1,0,5,1,244,136,574,310,1,1,100.0,4,1,0.6816006600660067
157,Nathaniel Clyne,2025/26,2026/27,10,DF,34.0,1,0,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,10.0,0.0,0,0,0,0,5,3,7,6,0,0,,0,0,0.24735973597359737
158,Odsonne Édouard,2025/26,2026/27,10,FW,27.0,1,0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,1,4,2,5,4,0,0,,0,0,0.23308580858085812
159,Romain Esse,2025/26,2026/27,10,FW,20.0,1,0,25.0,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,2,0,3,2,1,0,0,0,0,6.666666666666667,0.0,0,0,1,2,12,9,26,12,2,1,50.0,2,1,0.3087458745874587
160,Tyrick Mitchell,2025/26,2026/27,10,DF,26.0,4,4,360.0,4.0,0,0,0,0,0.0,0.2,0.0,0.2,0,0,,,,,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,11,0,2.75,0.0,2.75,0.0,4,3,6,13,28,16,11,2,16,6,1,4.0,0.5,1,0,0,0,238,102,662,346,5,1,20.0,5,3,0.7023927392739274
161,Will Hughes,2025/26,2026/27,10,MF,30.0,4,4,319.0,3.5,0,0,0,0,0.2,0.5,0.2,0.6,3,0,0.0,18.4,0.0,,0.0,0.0,0.05714285714285715,0.14285714285714285,0.05714285714285715,0.0,0.8571428571428571,0.0,8,0,2.26,0.0,2.2857142857142856,0.0,5,6,22,1,3,5,3,2,9,2,0,1.4285714285714286,0.5714285714285714,3,0,7,4,153,60,226,137,1,0,0.0,1,2,0.6103960396039604
